,_administr: 85,another study: 140,study data: 64,business: 192,practice_change: 42,design_change: 55,enroll_completed: 47,funding: 228,futility: 50,bad_design: 24,efficacy: 147,bad_enroll: 960,key_staff: 110,lost_interest: 19,none: 149,regulatory: 80,resources: 73,safety: 132,see_more: 112,sponsor: 81,completed: 40,success: 7,interim: 24,logistics: 59,endpoint_unmet: 20,covid-19: 447,_ethical: 8,_insufficient_data: 13,_irreproducible: 1,_endpoint_met: 15,_non_compliance: 15,_not_a_clinical_t: 4,_other: 120,_pharmacokinetics: 2,_side_effects: 3,_study_moved: 5
_administr: 85,1,0.951948055,0.964095256,0.975102714,0.960200138,0.965433838,0.960883015,0.97043804,0.943125449,0.961686451,0.949364761,0.960046536,0.953644142,0.970382171,0.964407059,0.965954492,0.975243938,0.959915808,0.858678483,0.952533456,0.944999202,0.930173397,0.945014418,0.965422004,0.93101116,0.932247268,0.958741181,0.907260256,0.883817627,0.94278388,0.961890826,0.866684415,0.96324303,0.886163848,0.916532406,0.94071688
another study: 140,0.951948055,1,0.989910225,0.968804001,0.988624954,0.98403024,0.963194037,0.939170531,0.971905298,0.982839712,0.982787419,0.961203534,0.965623453,0.973992723,0.950535792,0.981349397,0.974082246,0.978723744,0.871396099,0.938382469,0.946363029,0.969618152,0.956354496,0.981329408,0.97290226,0.957579906,0.952323925,0.906737616,0.922559517,0.981813371,0.96803149,0.890500936,0.98997551,0.921076508,0.935013769,0.957477484
study data: 64,0.964095256,0.989910225,1,0.973409323,0.989191928,0.982394561,0.965386175,0.947885372,0.978822944,0.986559198,0.98853028,0.967202924,0.962287541,0.976495192,0.954067416,0.982690652,0.978228774,0.985777109,0.872411044,0.946623595,0.946146033,0.975380455,0.964985371,0.983862489,0.976854217,0.951973792,0.962083416,0.912228682,0.920059557,0.985538124,0.976265492,0.88626913,0.989051078,0.928292675,0.941878408,0.949333045
business: 192,0.975102714,0.968804001,0.973409323,1,0.971989466,0.972157636,0.960239328,0.972289492,0.952378837,0.965420734,0.956213366,0.958480307,0.964608306,0.978575261,0.958748719,0.977424736,0.979331482,0.963924378,0.867728537,0.963754739,0.940743658,0.934863889,0.949306694,0.968837771,0.945113719,0.946784265,0.955537661,0.896974085,0.891704064,0.95306226,0.957325319,0.869051909,0.973080073,0.896563113,0.92298417,0.959800846
practice_change: 42,0.960200138,0.988624954,0.989191928,0.971989466,1,0.982704507,0.958106168,0.945703133,0.969552607,0.982304626,0.981669079,0.960450431,0.965236061,0.975991903,0.945359816,0.983164002,0.981567649,0.977743797,0.873081873,0.937838889,0.933388087,0.97011289,0.94417997,0.984120483,0.966279996,0.953966852,0.956809531,0.903332907,0.922917008,0.978601686,0.975559325,0.87587939,0.987731151,0.917456713,0.937638434,0.957506097
design_change: 55,0.965433838,0.98403024,0.982394561,0.972157636,0.982704507,1,0.971987178,0.951721547,0.956657784,0.982745579,0.967402422,0.963068005,0.966323943,0.978263535,0.967838396,0.981295231,0.978022235,0.970762097,0.882215517,0.95175986,0.962612209,0.953219986,0.963564753,0.977569639,0.959939147,0.951074054,0.96016577,0.908556949,0.904040027,0.968879108,0.970393088,0.885755209,0.986014717,0.903942686,0.931702235,0.965768423
enroll_completed: 47,0.960883015,0.963194037,0.965386175,0.960239328,0.958106168,0.971987178,1,0.949891148,0.942563847,0.966191591,0.953289977,0.979266187,0.954316719,0.959662995,0.97566877,0.957378332,0.970434125,0.957583116,0.864174659,0.934566413,0.975843809,0.941773661,0.958786224,0.964540631,0.951478122,0.936022038,0.949354981,0.926098924,0.88685993,0.961632222,0.958672378,0.874022053,0.969986074,0.894493896,0.923680054,0.948169419
funding: 228,0.97043804,0.939170531,0.947885372,0.972289492,0.945703133,0.951721547,0.949891148,1,0.937623335,0.952497045,0.93868458,0.956922736,0.944303405,0.971292756,0.95081653,0.953566082,0.972885025,0.939242732,0.848533335,0.955732954,0.930150842,0.910774584,0.93400294,0.951860697,0.920260711,0.917665336,0.950627993,0.914863847,0.869001514,0.925806589,0.948332989,0.870961631,0.952017532,0.864212296,0.899057699,0.935186474
futility: 50,0.943125449,0.971905298,0.978822944,0.952378837,0.969552607,0.956657784,0.942563847,0.937623335,1,0.979826573,0.981200547,0.955354383,0.939752589,0.968451832,0.932747363,0.965656439,0.954279806,0.964700505,0.835997263,0.939281965,0.921274327,0.952631287,0.952358461,0.964741896,0.976178805,0.922852278,0.95204466,0.898898998,0.919543225,0.970901965,0.963055681,0.900069977,0.968044763,0.900495299,0.909369249,0.916108078
bad_design: 24,0.961686451,0.982839712,0.986559198,0.965420734,0.982304626,0.982745579,0.966191591,0.952497045,0.979826573,1,0.984337724,0.973208606,0.951997432,0.980304572,0.956401983,0.973959766,0.975092863,0.976203549,0.850481565,0.946684641,0.949710175,0.958972784,0.962630237,0.982812564,0.977320726,0.94018872,0.961320857,0.920479881,0.923957064,0.97565295,0.980027613,0.907311187,0.982000745,0.912180543,0.926547522,0.941164174
efficacy: 147,0.949364761,0.982787419,0.98853028,0.956213366,0.981669079,0.967402422,0.953289977,0.93868458,0.981200547,0.984337724,1,0.963517702,0.946727767,0.965484546,0.945297351,0.966304359,0.971489061,0.982865024,0.851038817,0.930798338,0.938000495,0.970833345,0.956112073,0.97641093,0.978488426,0.936906663,0.945687493,0.919643284,0.921283522,0.981105804,0.973604128,0.896580984,0.977133004,0.927050474,0.94005316,0.929954421
bad_enroll: 960,0.960046536,0.961203534,0.967202924,0.958480307,0.960450431,0.963068005,0.979266187,0.956922736,0.955354383,0.973208606,0.963517702,1,0.948424857,0.961703218,0.964292619,0.954194017,0.973452459,0.960259372,0.854052598,0.932112415,0.951408689,0.939683737,0.948305918,0.971076402,0.952745946,0.934505519,0.943094915,0.93026893,0.894860502,0.954817342,0.970151344,0.881828641,0.966080305,0.898642858,0.925778338,0.934144453
key_staff: 110,0.953644142,0.965623453,0.962287541,0.964608306,0.965236061,0.966323943,0.954316719,0.944303405,0.939752589,0.951997432,0.946727767,0.948424857,1,0.966118594,0.954916761,0.971630527,0.967800076,0.949273153,0.875857892,0.936378884,0.937516695,0.937687191,0.931066397,0.96381795,0.938197669,0.945077093,0.947089433,0.885901323,0.893404824,0.953408214,0.951599694,0.853780589,0.969396202,0.898284124,0.915833916,0.974018937
